"","ctime","intertime","cwma","ratecat"
"1400",1397156400,1680,1277.41935483871,"h"
"1401",1397158200,1800,1045.16129032258,"h"
"1402",1397159100,900,900,"m"
"1403",1397159100,0,812.903225806452,"l"
"1404",1397160000,900,812.903225806452,"m"
"1405",1397160900,900,841.935483870968,"m"
"1406",1397160960,60,843.870967741935,"m"
"1407",1397161800,840,812.903225806452,"m"
"1408",1397161800,0,754.838709677419,"l"
"1409",1397162100,300,764.516129032258,"m"
"1410",1397163000,900,793.548387096774,"m"
"1411",1397163000,0,793.548387096774,"l"
"1412",1397163300,300,803.225806451613,"m"
"1413",1397163600,300,716.129032258065,"m"
"1414",1397163600,0,696.774193548387,"l"
"1415",1397164800,1200,677.41935483871,"m"
"1416",1397167200,2400,696.774193548387,"h"
"1417",1397167200,0,696.774193548387,"l"
"1418",1397167200,0,696.774193548387,"l"
"1419",1397167200,0,667.741935483871,"l"
"1420",1397168100,900,638.709677419355,"m"
"1421",1397169000,900,650.322580645161,"m"
"1422",1397169000,0,638.709677419355,"l"
"1423",1397169600,600,658.064516129032,"m"
"1424",1397170800,1200,696.774193548387,"m"
"1425",1397170800,0,696.774193548387,"l"
"1426",1397170800,0,590.322580645161,"l"
"1427",1397171880,1080,613.548387096774,"m"
"1428",1397172120,240,565.161290322581,"m"
"1429",1397172600,480,580.645161290323,"m"
"1430",1397172600,0,576.774193548387,"l"
"1431",1397172600,0,522.58064516129,"l"
"1432",1397172600,0,464.516129032258,"l"
"1433",1397172600,0,435.483870967742,"l"
"1434",1397174400,1800,493.548387096774,"h"
"1435",1397174400,0,464.516129032258,"l"
"1436",1397175300,900,464.516129032258,"m"
"1437",1397175300,0,462.58064516129,"l"
"1438",1397177400,2100,503.225806451613,"h"
"1439",1397178000,600,522.58064516129,"m"
"1440",1397179200,1200,551.612903225806,"m"
"1441",1397179800,600,541.935483870968,"m"
"1442",1397179800,0,541.935483870968,"l"
"1443",1397180400,600,551.612903225806,"m"
"1444",1397180580,180,547.741935483871,"m"
"1445",1397181600,1020,580.645161290323,"m"
"1446",1397181600,0,541.935483870968,"l"
