"time","sent"
1397832424.61,"h"
1397832512.79,"m"
1397833304.9,"m"
1397834013.21,"m"
1397834811.09,"m"
1397834973.88,"h"
1397835585.01,"m"
1397835716.4,"l"
1397836416.25,"m"
1397837143.2,"m"
1397837367.4,"h"
1397837918.55,"m"
1397838732.86,"m"
1397839549.64,"m"
1397839668.96,"l"
1397840098.6,"h"
1397840406.01,"m"
1397841301.16,"m"
1397842213.86,"m"
1397842922.63,"h"
1397843113.48,"m"
1397843764.97,"l"
1397844041.96,"m"
1397845061.4,"m"
1397846022.83,"h"
1397846029.18,"m"
1397846902.85,"m"
1397847853.61,"m"
1397848060.35,"l"
1397848809.5,"m"
1397849242.19,"h"
1397849730.21,"m"
1397850541.19,"m"
1397851461.74,"m"
1397852088.45,"l"
1397852340.63,"h"
1397852382.95,"m"
1397853281.79,"m"
1397854293.69,"m"
1397855271.6,"m"
1397855462.03,"h"
1397856222.05,"m"
1397856417.3,"l"
1397857208.65,"m"
1397858185.95,"m"
1397858886.02,"h"
1397859134.66,"m"
1397860075.92,"m"
1397860976.05,"m"
1397861127.64,"l"
1397861879.95,"m"
1397861937.32,"h"
1397862793.41,"m"
1397863639.4,"m"
1397864427.26,"m"
1397864774.17,"h"
1397865204.51,"m"
1397865504.41,"l"
1397865988.9,"m"
1397866759.71,"m"
1397867193.63,"h"
1397867489.82,"m"
1397868218.11,"m"
1397868879.5,"m"
1397868972.32,"l"
1397869552.33,"h"
1397869587.92,"m"
1397870231.73,"m"
1397870915.2,"m"
1397871638.65,"m"
1397871932.12,"h"
1397872290.32,"m"
1397872374.62,"l"
1397872941.89,"m"
1397873604.69,"m"
1397873935.71,"h"
1397874190.35,"m"
1397874795.15,"m"
1397875373.16,"m"
1397875399.22,"l"
1397875803.16,"h"
1397875945.18,"m"
1397876643.76,"m"
1397877246.67,"m"
1397877847.73,"h"
1397877970.3,"m"
1397878653.36,"m"
1397878696.42,"l"
1397879374.03,"m"
1397880059.42,"m"
1397880358.3,"h"
1397880789.83,"m"
