"","ctime","intertime","cwma","ratecat"
"1522",1397282400,600,870.967741935484,"m"
"1523",1397284020,1620,923.225806451613,"h"
"1524",1397285820,1800,952.258064516129,"h"
"1525",1397286000,180,929.032258064516,"m"
"1526",1397286000,0,900,"l"
"1527",1397287500,1500,861.290322580645,"h"
"1528",1397287680,180,809.032258064516,"m"
"1529",1397287800,120,754.838709677419,"m"
"1530",1397287800,0,754.838709677419,"l"
"1531",1397288580,780,780,"m"
"1532",1397289300,720,803.225806451613,"m"
"1533",1397291400,2100,812.903225806452,"h"
"1534",1397292600,1200,803.225806451613,"m"
"1535",1397292780,180,807.096774193548,"m"
"1536",1397294700,1920,861.290322580645,"h"
"1537",1397294700,0,861.290322580645,"l"
"1538",1397296800,2100,929.032258064516,"h"
"1539",1397297880,1080,905.806451612903,"m"
"1540",1397299200,1320,948.387096774194,"h"
"1541",1397300400,1200,987.096774193548,"m"
"1542",1397307540,7140,1217.41935483871,"h"
"1543",1397310300,2760,1198.06451612903,"h"
"1544",1397311200,900,1219.35483870968,"m"
"1545",1397312100,900,1238.70967741935,"m"
"1546",1397313000,900,1161.29032258065,"m"
"1547",1397313600,600,1141.93548387097,"m"
"1548",1397315700,2100,1188.38709677419,"h"
"1549",1397316600,900,1170.96774193548,"m"
"1550",1397316600,0,1161.29032258065,"l"
"1551",1397321700,5100,1314.1935483871,"h"
"1552",1397322180,480,1302.58064516129,"m"
"1553",1397325600,3420,1393.54838709677,"h"
"1554",1397326500,900,1370.32258064516,"m"
"1555",1397327400,900,1341.29032258065,"m"
"1556",1397328120,720,1358.70967741935,"m"
"1557",1397328300,180,1364.51612903226,"m"
"1558",1397330100,1800,1374.1935483871,"h"
"1559",1397333700,3600,1484.51612903226,"h"
"1560",1397335620,1920,1542.58064516129,"h"
"1561",1397336400,780,1567.74193548387,"m"
"1562",1397336700,300,1552.25806451613,"m"
"1563",1397338200,1500,1577.41935483871,"h"
"1564",1397338200,0,1509.67741935484,"l"
"1565",1397340000,1800,1529.03225806452,"h"
"1566",1397343600,3600,1639.35483870968,"h"
"1567",1397344500,900,1606.45161290323,"m"
"1568",1397345400,900,1635.48387096774,"m"
"1569",1397348400,3000,1664.51612903226,"h"
"1570",1397348880,480,1645.16129032258,"m"
"1571",1397351700,2820,1693.54838709677,"h"
"1572",1397352600,900,1683.87096774194,"m"
"1573",1397353200,600,1472.90322580645,"m"
"1574",1397355000,1800,1441.93548387097,"h"
"1575",1397356380,1380,1457.41935483871,"h"
"1576",1397358000,1620,1480.64516129032,"h"
"1577",1397358600,600,1470.96774193548,"m"
"1578",1397359800,1200,1490.32258064516,"m"
"1579",1397361600,1800,1480.64516129032,"h"
"1580",1397363400,1800,1509.67741935484,"h"
